Haushaltsjahr;Haushaltsstufe 0;Fachgruppe;katkey;EXEMPLARANZ;PREIS;Bestellpreis
;;;1933843;1,00;20,00;22,00
;;;1933844;1,00;22,00;25,00
;;;1933845;1,00;34,00;38,00
;;;1933846;1,00;17,00;19,00
;;;1933847;1,00;24,00;27,00
;;;1933869;1,00;15,00;17,00
;;;1933891;1,00;24,00;27,00
;;;1933892;1,00;24,00;27,00
;;;1933941;1,00;"0,00";"0,00"
;;;1934047;1,00;20,00;22,00
;;;1934290;1,00;15,00;17,00
;;;1934297;1,00;13,00;15,00
;;;1934298;1,00;15,00;17,00
;;;1934302;1,00;14,00;15,00
;;;1934312;1,00;22,00;25,00
;;;1934314;1,00;22,00;25,00
;;;1934315;1,00;25,00;28,00
;;;1934318;1,00;24,00;30,00
;;;1934343;1,00;"0,00";"0,00"
;;;1935470;1,00;"0,00";"0,00"
;;;1935625;1,00;27,00;30,00
;;;1935817;1,00;15,00;17,00
;;;1935821;1,00;15,00;17,00
;;;1935824;1,00;15,00;17,00
;;;1935833;1,00;18,00;20,00
;;;1935834;1,00;18,00;20,00
;;;1935846;1,00;12,00;13,00
;;;1935847;1,00;12,00;13,00
;;;1935848;1,00;12,00;13,00
;;;1935849;1,00;12,00;13,00
;;;1935850;1,00;12,00;13,00
;;;1935851;1,00;12,00;13,00
;;;1935852;1,00;12,00;14,00
;;;1935854;1,00;12,00;13,00
;;;1935855;1,00;12,00;13,00
;;;1935856;1,00;12,00;13,00
;;;1935865;1,00;17,00;19,00
;;;1935866;1,00;11,00;12,00
;;;1935867;1,00;21,00;24,00
;;;1936459;1,00;17,00;19,00
;;;1936464;1,00;15,00;17,00
;;;1936468;1,00;17,00;19,00
;;;1936469;1,00;22,00;24,00
;;;1936471;1,00;27,00;26,00
;;;1936472;1,00;18,00;20,00
;;;1936475;1,00;31,00;34,00
;;;1936476;1,00;17,00;19,00
;;;1936490;1,00;"0,00";"0,00"
;;;1936577;1,00;6,00;7,00
;;;1936753;1,00;12,00;14,00
;;;1936755;1,00;12,00;14,00
;;;1936759;1,00;12,00;14,00
;;;1936761;1,00;12,00;14,00
;;;1936764;1,00;12,00;14,00
;;;1936765;1,00;12,00;14,00
;;;1936780;1,00;21,00;23,00
;;;1936782;1,00;19,00;22,00
;;;1936783;1,00;19,00;22,00
;;;1936789;1,00;18,00;20,00
;;;1936791;1,00;27,00;30,00
;;;1936792;1,00;27,00;30,00
;;;1936795;1,00;27,00;30,00
;;;1936796;1,00;27,00;30,00
;;;1936797;1,00;23,00;26,00
;;;1936842;1,00;24,00;27,00
;;;1936843;1,00;22,00;24,00
;;;1936844;1,00;19,00;22,00
;;;1936845;1,00;19,00;22,00
;;;1936846;1,00;20,00;22,00
;;;1936856;1,00;16,00;18,00
;;;1936857;1,00;22,00;24,00
;;;1936858;1,00;12,00;13,00
;;;1936859;1,00;9,00;10,00
;;;1936860;1,00;9,00;10,00
;;;1936861;1,00;22,00;25,00
;;;1936862;1,00;22,00;25,00
;;;1936863;1,00;22,00;24,00
;;;1936864;1,00;22,00;24,00
;;;1936865;1,00;22,00;25,00
;;;1936866;1,00;22,00;25,00
;;;1936867;1,00;17,00;19,00
;;;1936868;1,00;17,00;19,00
;;;1936869;1,00;17,00;19,00
;;;1936870;1,00;17,00;19,00
;;;1936871;1,00;17,00;19,00
;;;1936872;1,00;17,00;19,00
;;;1936873;1,00;13,00;15,00
;;;1936874;1,00;18,00;21,00
;;;1936876;1,00;27,00;29,00
;;;1936877;1,00;24,00;27,00
;;;1936878;1,00;18,00;20,00
;;;1936879;1,00;18,00;20,00
;;;1936880;1,00;16,00;18,00
;;;1937882;1,00;4,00;4,00
;;;1937884;1,00;12,00;13,00
;;;1937885;1,00;12,00;13,00
;;;1943444;1,00;18,00;20,00
;;;32088;2,00;26,00;30,00
;;"0015 Bluray";1936018;1,00;23,00;25,00
;;"0016 DVD";1918246;1,00;13,00;15,00
;nare Frau Knecht B,C,F,M,N,O,P,Q,S,T,U,V,W,Z;"0001 Bücher";1450283;1,00;15,00;17,00
;;;1457298;1,00;22,00;24,00
;;;1465632;1,00;18,00;20,00
;;;1507570;1,00;"0,00";"0,00"
;;;1511806;1,00;"0,00";"0,00"
;;;1553515;1,00;9,00;10,00
;;;1560724;1,00;"0,00";"0,00"
;;;1562897;1,00;12,00;13,00
;;;1585768;1,00;15,00;13,00
;;;1587485;2,00;24,00;26,00
;;;1596318;1,00;11,00;12,00
;;;1600280;1,00;13,00;15,00
;;;1604748;1,00;18,00;20,00
;;;1605771;1,00;"0,00";"0,00"
;;;1613116;1,00;23,00;25,00
;;;1613140;1,00;"0,00";"0,00"
;;;1615740;1,00;21,00;23,00
;;;1616802;4,00;20,00;24,00
;;;1619021;1,00;15,00;17,00
;;;1619760;1,00;16,00;18,00
;;;1621793;1,00;15,00;17,00
;;;1626710;1,00;9,00;10,00
;;;1631640;1,00;18,00;20,00
;;;1632850;2,00;26,00;28,00
;;;1633371;1,00;"0,00";"0,00"
;;;1634146;2,00;30,00;32,00
;;;1634556;1,00;27,00;30,00
;;;1643329;1,00;15,00;17,00
;;;1643365;1,00;9,00;10,00
;;;1645161;1,00;"0,00";"0,00"
;;;1655735;1,00;15,00;17,00
;;;1657584;2,00;18,00;20,00
;;;1660601;1,00;36,00;40,00
;;;1664026;1,00;15,00;17,00
;;;1674021;1,00;58,00;65,00
;;;1675973;1,00;20,00;22,00
;;;1686769;3,00;39,00;45,00
;;;1691559;1,00;8,00;9,00
;;;1695080;1,00;29,00;32,00
;;;1696338;2,00;26,00;30,00
;;;1696439;1,00;12,00;13,00
;;;1698994;1,00;16,00;18,00
;;;1701873;1,00;11,00;12,00
;;;1702054;1,00;9,00;10,00
;;;1704813;1,00;23,00;25,00
;;;1710797;1,00;15,00;17,00
;;;1711068;1,00;17,00;19,00
;;;1712056;2,00;28,00;32,00
;;;1716368;1,00;9,00;10,00
;;;1717457;1,00;14,00;15,00
;;;1719079;1,00;29,00;32,00
;;;1721103;1,00;18,00;20,00
;;;1722579;1,00;14,00;15,00
;;;1726627;1,00;9,00;10,00
;;;1728460;1,00;18,00;20,00
;;;1728547;1,00;11,00;12,00
;;;1729100;1,00;18,00;20,00
;;;1730767;1,00;14,00;15,00
;;;1731800;1,00;22,00;25,00
;;;1731842;1,00;27,00;30,00
;;;1733286;2,00;26,00;28,00
;;;1733293;2,00;44,00;50,00
;;;1734338;1,00;15,00;17,00
;;;1735432;1,00;16,00;18,00
;;;1739403;2,00;26,00;30,00
;;;1739953;1,00;13,00;15,00
;;;1741768;1,00;11,00;12,00
;;;1747279;1,00;9,00;10,00
;;;1747796;1,00;11,00;12,00
;;;1750746;1,00;15,00;17,00
;;;1753830;1,00;15,00;17,00
;;;1757122;1,00;12,00;13,00
;;;1757974;1,00;16,00;18,00
;;;1760844;2,00;36,00;40,00
;;;1766446;1,00;12,00;13,00
;;;1766667;1,00;27,00;30,00
;;;1767188;1,00;18,00;20,00
;;;1768834;1,00;19,00;21,00
;;;1771694;1,00;"0,00";"0,00"
;;;1773286;1,00;21,00;23,00
;;;1777812;1,00;35,00;39,00
;;;1780284;1,00;25,00;28,00
;;;1780471;1,00;20,00;22,00
;;;1780854;1,00;11,00;12,00
;;;1784585;1,00;13,00;20,00
;;;1785261;2,00;28,00;30,00
;;;1795163;1,00;15,00;15,00
;;;1799175;1,00;20,00;22,00
;;;1805701;1,00;"0,00";"0,00"
;;;1807262;1,00;15,00;17,00
;;;1807700;1,00;13,00;19,00
;;;1808737;1,00;13,00;13,00
;;;1809265;1,00;18,00;20,00
;;;1812490;1,00;23,00;26,00
;;;1812698;1,00;23,00;25,00
;;;1816402;1,00;27,00;30,00
;;;1816480;1,00;16,00;18,00
;;;1816551;1,00;18,00;20,00
;;;1817360;2,00;28,00;30,00
;;;1818095;1,00;"0,00";"0,00"
;;;1818099;1,00;22,00;25,00
;;;1822407;1,00;27,00;30,00
;;;1823842;1,00;22,00;25,00
;;;1825034;2,00;24,00;26,00
;;;1825688;1,00;15,00;17,00
;;;1827870;1,00;36,00;40,00
;;;1828582;1,00;23,00;25,00
;;;1834919;1,00;14,00;15,00
;;;1834995;1,00;18,00;20,00
;;;1835057;1,00;13,00;15,00
;;;1835068;1,00;16,00;18,00
;;;1837036;1,00;18,00;20,00
;;;1843070;1,00;14,00;13,00
;;;1850890;1,00;31,00;35,00
;;;1852223;1,00;20,00;22,00
;;;1852528;1,00;18,00;20,00
;;;1852550;1,00;18,00;20,00
;;;1852906;1,00;18,00;20,00
;;;1854734;1,00;9,00;10,00
;;;1856987;1,00;11,00;12,00
;;;1857169;1,00;23,00;26,00
;;;1857631;1,00;16,00;17,00
;;;1863492;1,00;9,00;18,00
;;;1863993;2,00;28,00;32,00
;;;1864902;1,00;23,00;26,00
;;;1866460;1,00;15,00;17,00
;;;1868450;1,00;15,00;17,00
;;;1868490;2,00;50,00;52,00
;;;1878379;1,00;18,00;20,00
;;;1878695;1,00;16,00;18,00
;;;1879966;1,00;12,00;13,00
;;;1880330;1,00;16,00;18,00
;;;1883227;1,00;19,00;18,00
;;;1884641;2,00;40,00;44,00
;;;1886038;1,00;12,00;13,00
;;;1888021;1,00;22,00;25,00
;;;1890411;2,00;30,00;34,00
;;;1893944;1,00;26,00;29,00
;;;1894196;1,00;16,00;18,00
;;;1895403;1,00;12,00;13,00
;;;1895576;1,00;22,00;25,00
;;;1896398;1,00;14,00;16,00
;;;1898173;1,00;18,00;20,00
;;;1898325;1,00;22,00;25,00
;;;1898334;1,00;13,00;15,00
;;;1898342;1,00;27,00;30,00
;;;1898373;1,00;30,00;33,00
;;;1898374;1,00;18,00;20,00
;;;1898375;1,00;23,00;24,00
;;;1898376;1,00;18,00;20,00
;;;1898377;1,00;22,00;25,00
;;;1898378;1,00;27,00;30,00
;;;1898379;1,00;22,00;25,00
;;;1899392;1,00;18,00;20,00
;;;1899467;1,00;16,00;18,00
;;;1899781;1,00;53,00;59,00
;;;1899860;1,00;25,00;25,00
;;;1900348;1,00;38,00;40,00
;;;1900385;2,00;36,00;40,00
;;;1900426;1,00;22,00;25,00
;;;1900560;1,00;13,00;14,00
;;;1900564;1,00;20,00;22,00
;;;1900565;1,00;20,00;22,00
;;;1900681;1,00;20,00;22,00
;;;1900737;1,00;"0,00";"0,00"
;;;1901549;1,00;19,00;19,00
;;;1903044;1,00;16,00;18,00
;;;1903573;1,00;27,00;30,00
;;;1903859;1,00;21,00;23,00
;;;1903894;2,00;36,00;34,00
;;;1904187;2,00;28,00;28,00
;;;1904637;1,00;18,00;20,00
;;;1904700;1,00;20,00;20,00
;;;1904932;1,00;20,00;20,00
;;;1904986;1,00;16,00;18,00
;;;1905008;1,00;17,00;19,00
;;;1905163;2,00;30,00;28,00
;;;1905252;1,00;16,00;15,00
;;;1905350;3,00;36,00;39,00
;;;1905424;1,00;28,00;28,00
;;;1905561;2,00;32,00;30,00
;;;1905565;1,00;20,00;20,00
;;;1905777;1,00;23,00;23,00
;;;1905779;1,00;20,00;20,00
;;;1905837;2,00;40,00;40,00
;;;1905926;2,00;20,00;22,00
;;;1905962;1,00;29,00;30,00
;;;1907521;1,00;23,00;26,00
;;;1907618;2,00;36,00;34,00
;;;1907640;2,00;38,00;36,00
;;;1907723;1,00;22,00;22,00
;;;1907832;2,00;35,00;36,00
;;;1907834;2,00;38,00;40,00
;;;1907835;3,00;75,00;78,00
;;;1907836;3,00;31,00;30,00
;;;1907837;2,00;38,00;40,00
;;;1907839;1,00;20,00;22,00
;;;1907841;2,00;35,00;36,00
;;;1907842;1,00;16,00;18,00
;;;1907867;1,00;23,00;23,00
;;;1907909;1,00;18,00;17,00
;;;1907910;3,00;112,00;120,00
;;;1907914;1,00;24,00;25,00
;;;1907981;1,00;27,00;30,00
;;;1908025;1,00;16,00;15,00
;;;1908042;1,00;15,00;17,00
;;;1908044;2,00;26,00;22,00
;;;1908057;1,00;14,00;13,00
;;;1908058;2,00;28,00;26,00
;;;1908059;1,00;24,00;25,00
;;;1908064;1,00;29,00;28,00
;;;1908070;1,00;24,00;24,00
;;;1908071;1,00;26,00;25,00
;;;1908072;2,00;46,00;46,00
;;;1908073;2,00;38,00;36,00
;;;1908074;1,00;20,00;20,00
;;;1908077;1,00;26,00;26,00
;;;1908078;1,00;16,00;15,00
;;;1908084;2,00;26,00;26,00
;;;1908085;2,00;22,00;20,00
;;;1908087;2,00;36,00;34,00
;;;1908102;1,00;25,00;25,00
;;;1908103;1,00;27,00;26,00
;;;1908127;3,00;37,00;36,00
;;;1908131;1,00;18,00;18,00
;;;1908134;1,00;11,00;10,00
;;;1908137;3,00;58,00;60,00
;;;1908250;1,00;20,00;22,00
;;;1908317;1,00;23,00;26,00
;;;1908324;1,00;18,00;20,00
;;;1908335;2,00;50,00;50,00
;;;1908336;1,00;36,00;40,00
;;;1908337;2,00;42,00;46,00
;;;1908361;2,00;26,00;30,00
;;;1908366;1,00;24,00;27,00
;;;1908374;1,00;35,00;39,00
;;;1908378;1,00;16,00;18,00
;;;1908383;1,00;18,00;20,00
;;;1908394;1,00;22,00;25,00
;;;1908396;1,00;22,00;25,00
;;;1908399;1,00;14,00;16,00
;;;1908400;1,00;29,00;32,00
;;;1908402;2,00;36,00;40,00
;;;1908403;1,00;27,00;30,00
;;;1908404;1,00;45,00;50,00
;;;1908405;1,00;63,00;70,00
;;;1908406;1,00;27,00;30,00
;;;1908407;1,00;19,00;21,00
;;;1908411;1,00;27,00;30,00
;;;1908413;1,00;23,00;30,00
;;;1908464;1,00;18,00;20,00
;;;1908465;1,00;19,00;22,00
;;;1908466;1,00;21,00;24,00
;;;1908467;1,00;24,00;20,00
;;;1908481;1,00;22,00;24,00
;;;1908482;1,00;23,00;25,00
;;;1908483;1,00;31,00;35,00
;;;1908484;1,00;36,00;40,00
;;;1908485;1,00;32,00;36,00
;;;1908486;1,00;24,00;27,00
;;;1908487;1,00;20,00;22,00
;;;1908488;1,00;30,00;33,00
;;;1908489;1,00;22,00;24,00
;;;1908490;1,00;20,00;22,00
;;;1908491;1,00;9,00;10,00
;;;1908492;1,00;18,00;20,00
;;;1908494;1,00;24,00;27,00
;;;1908495;1,00;21,00;23,00
;;;1908497;1,00;23,00;25,00
;;;1908498;1,00;22,00;25,00
;;;1908500;1,00;14,00;15,00
;;;1908501;1,00;18,00;20,00
;;;1908502;1,00;18,00;20,00
;;;1908503;1,00;27,00;30,00
;;;1908504;2,00;18,00;20,00
;;;1908505;1,00;15,00;17,00
;;;1908506;1,00;18,00;20,00
;;;1908507;1,00;8,00;9,00
;;;1908509;1,00;24,00;27,00
;;;1908510;1,00;20,00;22,00
;;;1908511;1,00;16,00;18,00
;;;1908512;1,00;16,00;18,00
;;;1908514;1,00;19,00;21,00
;;;1908515;1,00;22,00;25,00
;;;1908516;1,00;18,00;20,00
;;;1908517;1,00;18,00;20,00
;;;1908518;1,00;18,00;20,00
;;;1908519;2,00;28,00;32,00
;;;1908520;1,00;13,00;14,00
;;;1908521;1,00;21,00;23,00
;;;1908522;1,00;22,00;25,00
;;;1908548;1,00;24,00;24,00
;;;1908555;1,00;22,00;24,00
;;;1908700;2,00;30,00;34,00
;;;1908702;1,00;23,00;26,00
;;;1908703;1,00;13,00;15,00
;;;1908704;1,00;16,00;18,00
;;;1908705;1,00;18,00;20,00
;;;1908707;1,00;22,00;25,00
;;;1908708;1,00;17,00;19,00
;;;1908709;1,00;20,00;22,00
;;;1908711;1,00;11,00;12,00
;;;1908712;1,00;13,00;14,00
;;;1908713;1,00;23,00;25,00
;;;1908714;1,00;23,00;25,00
;;;1908792;1,00;"0,00";"0,00"
;;;1908858;1,00;22,00;25,00
;;;1908875;1,00;36,00;40,00
;;;1908877;1,00;40,00;45,00
;;;1908880;1,00;45,00;50,00
;;;1908881;1,00;40,00;45,00
;;;1908902;1,00;18,00;20,00
;;;1908903;1,00;27,00;30,00
;;;1908906;1,00;27,00;30,00
;;;1908912;1,00;21,00;23,00
;;;1908926;1,00;25,00;25,00
;;;1908991;1,00;22,00;24,00
;;;1909144;1,00;36,00;40,00
;;;1909446;1,00;35,00;35,00
;;;1909452;1,00;25,00;25,00
;;;1909624;1,00;15,00;17,00
;;;1909631;1,00;15,00;17,00
;;;1909737;1,00;19,00;19,00
;;;1909798;1,00;29,00;30,00
;;;1909801;2,00;50,00;50,00
;;;1909825;3,00;51,00;54,00
;;;1909826;1,00;16,00;18,00
;;;1909827;1,00;16,00;15,00
;;;1909829;3,00;48,00;54,00
;;;1909831;3,00;48,00;54,00
;;;1909839;1,00;18,00;20,00
;;;1909880;1,00;9,00;10,00
;;;1909884;1,00;36,00;40,00
;;;1909891;1,00;36,00;40,00
;;;1909894;2,00;28,00;28,00
;;;1909915;1,00;20,00;20,00
;;;1909916;1,00;34,00;35,00
;;;1909917;1,00;16,00;15,00
;;;1909919;1,00;22,00;22,00
;;;1909924;1,00;23,00;25,00
;;;1909925;1,00;22,00;25,00
;;;1909927;1,00;22,00;25,00
;;;1909928;1,00;36,00;40,00
;;;1909930;1,00;36,00;40,00
;;;1909932;1,00;22,00;25,00
;;;1909934;1,00;18,00;20,00
;;;1909936;1,00;25,00;28,00
;;;1909937;1,00;23,00;25,00
;;;1909938;1,00;32,00;36,00
;;;1909994;2,00;40,00;40,00
;;;1910013;2,00;58,00;60,00
;;;1910015;1,00;34,00;35,00
;;;1910017;2,00;29,00;30,00
;;;1910061;1,00;25,00;25,00
;;;1910124;1,00;18,00;20,00
;;;1910126;1,00;25,00;28,00
;;;1910128;1,00;15,00;17,00
;;;1910131;1,00;18,00;20,00
;;;1910314;2,00;36,00;36,00
;;;1910393;1,00;18,00;20,00
;;;1910396;1,00;11,00;12,00
;;;1910397;1,00;22,00;25,00
;;;1910400;1,00;22,00;25,00
;;;1910413;1,00;15,00;17,00
;;;1910414;2,00;42,00;44,00
;;;1910416;1,00;20,00;22,00
;;;1910418;1,00;20,00;22,00
;;;1910421;1,00;22,00;25,00
;;;1910422;1,00;16,00;18,00
;;;1910424;2,00;42,00;44,00
;;;1910427;1,00;16,00;18,00
;;;1910429;1,00;15,00;17,00
;;;1910431;1,00;18,00;20,00
;;;1910432;1,00;15,00;17,00
;;;1910433;1,00;15,00;17,00
;;;1910434;2,00;46,00;46,00
;;;1910440;1,00;18,00;18,00
;;;1910441;1,00;20,00;20,00
;;;1910502;2,00;44,00;44,00
;;;1910503;2,00;44,00;44,00
;;;1910504;2,00;46,00;46,00
;;;1910539;1,00;25,00;25,00
;;;1910568;1,00;27,00;30,00
;;;1910573;1,00;18,00;20,00
;;;1910608;1,00;22,00;25,00
;;;1910611;1,00;31,00;35,00
;;;1910616;1,00;31,00;35,00
;;;1910619;1,00;18,00;20,00
;;;1910626;2,00;14,00;16,00
;;;1910627;1,00;16,00;14,00
;;;1910631;1,00;25,00;28,00
;;;1910634;1,00;14,00;15,00
;;;1910636;1,00;20,00;22,00
;;;1910640;1,00;13,00;15,00
;;;1910653;1,00;20,00;22,00
;;;1910689;1,00;20,00;22,00
;;;1910702;1,00;12,00;13,00
;;;1910731;3,00;57,00;54,00
;;;1910733;1,00;16,00;18,00
;;;1910773;2,00;38,00;36,00
;;;1910777;1,00;18,00;17,00
;;;1910779;2,00;40,00;40,00
;;;1910784;1,00;18,00;20,00
;;;1910787;2,00;56,00;56,00
;;;1910797;1,00;18,00;20,00
;;;1910847;1,00;37,00;38,00
;;;1910849;1,00;20,00;20,00
;;;1910871;3,00;54,00;54,00
;;;1910876;1,00;27,00;30,00
;;;1910880;3,00;67,00;66,00
;;;1910943;1,00;20,00;20,00
;;;1910944;2,00;40,00;40,00
;;;1911367;2,00;52,00;52,00
;;;1911569;1,00;19,00;18,00
;;;1911578;1,00;22,00;22,00
;;;1911579;1,00;18,00;17,00
;;;1911634;1,00;15,00;17,00
;;;1911638;1,00;19,00;21,00
;;;1911657;1,00;20,00;22,00
;;;1911658;1,00;18,00;20,00
;;;1911667;1,00;20,00;22,00
;;;1911672;1,00;23,00;26,00
;;;1911678;1,00;18,00;20,00
;;;1911680;1,00;22,00;24,00
;;;1911683;2,00;36,00;40,00
